x, y,not,nand,and,orn,or,andn,nor,xor
15,11,0,1,16,15,8,16,0,16
16,11,0,2,17,15,7,16,0,17
17,11,0,3,18,15,6,15,0,18
18,11,0,4,19,15,5,15,0,17
19,11,0,5,20,15,4,14,0,16
20,11,0,5,21,15,4,13,0,15
21,11,0,6,22,15,3,13,0,14
22,11,0,7,23,15,2,12,0,13
23,11,0,8,23,15,0,12,0,12
24,11,0,9,22,15,0,11,0,11
25,11,0,10,22,15,0,11,0,10
26,11,0,11,21,15,0,10,0,9
27,11,0,12,20,16,0,10,0,8
28,11,0,13,19,16,0,9,0,7
29,11,0,14,18,16,0,9,0,6
30,11,0,15,18,16,0,8,0,5
31,11,0,16,17,16,0,8,0,4
32,11,0,17,16,17,0,7,0,3
33,11,0,18,16,17,0,7,0,2
34,11,0,19,15,18,0,7,0,2
35,11,0,20,15,18,0,6,0,0
36,11,0,21,14,19,0,6,0,0
37,11,0,22,14,19,0,6,0,0
38,11,0,22,14,20,0,5,0,0
39,11,1,21,13,20,0,5,0,0
40,11,2,20,13,21,0,5,0,0
41,11,2,19,13,22,0,5,0,0
42,11,3,18,13,21,0,5,0,0
43,11,4,17,13,20,0,5,0,0
44,11,5,16,12,20,0,5,0,0
