env, ud, task, x, y, div, rank
control,849,4,10,0,1.45656476213,97.9166666667
control,38321,9,20,14,1.45131468865,50.1666666667
control,54285,8,17,18,1.78952633232,69.8055555556
control,536,2,14,3,0.795040279385,94.5555555556
control,1359,3,28,0,0.905587261698,58.5
control,12055,9,1,19,0.568995593589,3.08333333333
control,1805,4,54,55,1.4594705708,88.4166666667
control,1779,6,59,56,1.55460976127,92.9444444444
control,1929,7,40,36,0.866313713865,60.9722222222
control,843,1,34,44,0.0,0.0
control,12054,8,1,19,0.847584679825,11.8055555556
control,1489,3,49,47,0.989587521222,97.8888888889
control,1433,2,51,50,1.20229218908,99.9722222222
control,1906,5,45,40,1.54438145772,94.0277777778
control,1468,3,29,8,1.8505644329,98.3333333333
control,1089,1,38,7,0.402179190202,92.3333333333
control,1097,4,40,14,0.998845535995,99.1111111111
control,26118,9,36,27,0.95104566058,8.33333333333
control,18492,8,45,0,0.353359335021,0.25
control,2491,5,42,4,1.97134643325,84.5555555556
control,1396,6,24,13,1.71033777697,97.4444444444
control,862,2,36,9,0.0,0.0
control,1774,7,42,28,0.482179190202,34.8055555556
control,3284,7,20,51,1.75533621343,89.5
control,1045,1,33,7,0.0,0.0
control,1987,2,37,40,0.904381457724,85.9722222222
control,2570,5,39,56,1.16399045755,94.6111111111
control,2007,4,38,6,0.85545081056,81.6944444444
control,2993,6,46,28,0.794309554641,34.1111111111
control,4260,3,10,9,1.39085629839,54.5
control,7431,9,37,30,0.639556365374,4.83333333333
control,5210,8,43,43,2.60307418943,98.6666666667
control,3439,2,47,42,0.721928094887,53.6944444444
control,4203,4,46,16,2.03293503962,99.6388888889
control,3466,3,36,5,0.529360865287,39.5833333333
control,3363,6,37,1,0.811278124459,72.9444444444
control,24352,8,58,38,1.44115352788,52.0555555556
control,13650,9,28,37,1.89972183241,81.2777777778
control,4386,5,32,31,1.14523577947,67.1944444444
control,1227,1,45,1,0.0,0.0
control,4265,7,33,20,1.2994705708,87.0833333333
control,23152,8,6,8,1.85356815817,97.5833333333
control,1497,4,14,51,0.85545081056,97.2222222222
control,2350,6,22,47,1.60385618977,80.6111111111
control,2411,7,40,55,0.996118213778,32.5833333333
control,13183,9,15,14,0.874309554641,15.9166666667
control,1300,1,11,51,0.0,0.0
control,2440,3,38,42,2.19248768917,95.7222222222
control,1676,5,16,51,1.61356815817,99.1111111111
control,1631,2,21,53,1.84229218908,99.5555555556
control,1767,4,55,31,0.85545081056,78.3611111111
control,1945,5,0,12,0.905587261698,76.9722222222
control,967,1,32,6,0.0,0.0
control,1854,2,56,30,0.998845535995,93.3611111111
control,2547,7,18,5,1.47173743342,90.5555555556
control,2364,6,54,15,0.639556365374,23.7777777778
control,7981,8,42,21,0.482179190202,7.11111111111
control,3070,3,34,52,1.77715631436,99.4444444444
control,7759,9,36,15,0.242292189082,1.08333333333
control,1667,1,5,45,0.866313713865,95.3888888889
control,1461,2,6,45,0.0,0.0
control,10026,9,59,36,0.699842839886,4.63888888889
control,2641,7,1,35,2.36386512195,99.5555555556
control,2161,6,19,22,0.639556365374,55.1388888889
control,1595,3,4,49,0.998845535995,99.0
control,27159,8,10,1,1.29176014818,38.5277777778
control,1551,4,7,47,0.795040279385,99.5555555556
